ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"200.70.19.93","elite","AS10834","AR","Telefonica de Argentina","292","Telefonica de Argentina","4153","socks4","5113","1","2023-05-25T22:07:59.463Z","98","1752","1790"
"103.23.237.71","elite","AS45433","IN","Kappa Pool 3","188","N/A","5678","socks4","4595","1","2023-05-25T22:07:59.469Z","97","1784","1846"
"65.21.131.87","elite","AS24940","FI","Hetzner Online GmbH","39","Hetzner","14141","socks4","5005","1","2023-05-25T22:07:58.068Z","100","1735","1737"
"120.24.52.179","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","288","Aliyun Computing Co., LTD","3128","socks5","5102","1","2023-05-25T22:07:58.063Z","86","1556","1805"
"38.127.179.230","elite","AS174","US","Cogent Communications","81","Torlandia Trading SRL","46656","socks4","1997","1","2023-05-25T22:07:58.067Z","100","1792","1793"
"190.39.195.72","elite","AS8048","VE","CANTV Servicios, Venezuela","197","CANTV Servicios, Venezuela","6588","socks5","4388","1","2023-05-25T22:07:56.361Z","41","708","1744"
"24.147.144.221","elite","AS7922","US","Comcast Cable Communications","101","Comcast Cable Communications Holdings, Inc","15280","socks5","4295","1","2023-05-25T22:07:56.362Z","100","1778","1779"
"186.219.96.225","elite","AS262420","BR","Cabonnet Internet Ltda","236","Cabonnet Internet Ltda","52017","socks4","4294","1","2023-05-25T22:07:56.362Z","99","1758","1774"
"91.241.130.127","elite","AS43400","UA","TOV NEO-TELECOM","94","TOV NEO-TELECOM","8080","socks5","4408","1","2023-05-25T22:07:56.360Z","60","1068","1791"
"83.171.112.77","elite","AS12389","RU","Rostelecom networks","65","OJSC North-West Telecom","3629","socks4","4316","83","2023-05-25T22:07:56.361Z","99","1850","1861"
"210.213.90.26","elite","AS9299","PH","Philippine Long Distance Telephone Co.","203","Philippine Long Distance Telephone Co","8080","socks4","3501","1","2023-05-25T22:07:54.767Z","100","1835","1843"
"104.16.108.204","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3604","2","2023-05-25T22:07:54.766Z","100","1812","1813"
"112.2.21.18","elite","AS56046","CN","China Mobile Communications Corporation","391","China Mobile Communications Corporation","51080","socks4","3304","1","2023-05-25T22:07:54.768Z","87","1514","1741"
"45.7.177.198","elite","AS266626","BR","Litoral Telecom","176","Litoral Telecom","39867","socks4","3591","1","2023-05-25T22:07:54.767Z","99","1768","1780"
"86.57.181.122","elite","AS6697","BY","Republican Unitary Telecommunication Enterprise Beltelecom","50","Byfly Vitebsk","51801","socks4","3696","1","2023-05-25T22:07:54.763Z","95","1765","1851"
